Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
NEURL3	"Lincr, LOC93082, RNF132"	ENSG00000163121	"Neuralized E3 ubiquitin protein ligase 3"	Q96EH8	2	96497646-96508109	"Enzymes, Predicted intracellular proteins"	"Host-virus interaction, Immunity, Innate immunity, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"kidney: 15.7;pancreas: 24.4;salivary gland: 29.4"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 21.7;Collecting duct cells: 25.3;Ductal cells: 114.0;Exocrine glandular cells: 37.6;Ionocytes: 26.9;Pancreatic endocrine cells: 23.8"	"Cell type enhanced"	"Detected in single"		"endothelial cell: 3.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Uterine cancer: 8.6"	"Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"										NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 45: Non-specific - Mixed function"	2				"unprognostic (1.54e-1)"	"unprognostic (6.79e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.52e-1)"	"unprognostic (3.26e-1)"	"unprognostic (1.88e-2)"	"unprognostic (2.41e-2)"		"unprognostic (2.02e-2)"	"unprognostic (2.82e-1)"	"unprognostic (6.37e-2)"	"unprognostic (3.01e-2)"	"unprognostic (6.43e-3)"	"unprognostic (3.57e-4)"	"unprognostic (1.79e-3)"			"unprognostic (1.62e-1)"	"unprognostic (8.62e-2)"	"unprognostic (2.03e-2)"	"unprognostic (1.25e-1)"	"unprognostic (4.93e-2)"	"unprognostic (3.14e-1)"	"unprognostic (8.24e-3)"	"unprognostic (1.86e-1)"	"unprognostic (1.47e-1)"		"unprognostic (1.50e-1)"			"unprognostic (2.06e-1)"
NR5A2	"B1F2, FTF, FTZ-F1, FTZ-F1beta, hB1F, hB1F-2, LRH-1, LRH1"	ENSG00000116833	"Nuclear receptor subfamily 5 group A member 2"	O00482	1	200027614-200177420	"Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"intestine: 17.3;liver: 37.4;pancreas: 59.2"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 23.6;Cholangiocytes: 22.9;Distal enterocytes: 39.3;Ductal cells: 44.1;Endothelial cells: 35.7;Exocrine glandular cells: 59.6;Hepatocytes: 34.2;Paneth cells: 27.7;Proximal enterocytes: 41.5;Undifferentiated cells: 25.2"	"Cell type enriched"	"Detected in some"	5	"endothelial cell: 20.6"	"Cancer enhanced"	"Detected in many"		"Liver Hepatocellular Carcinoma (TCGA): 11.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 2.3"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 2.3"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 12.2"	"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Minor Salivary Gland - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells"	"Region enhanced"	"Detected in single"		"hypothalamus: 1.2"	"Low region specificity"	"Detected in many"			"HPA005455, HPA017067"	Approved		Uncertain	"Nuclear speckles"			NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 24: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 45: Non-specific - Mixed function"	8	"Nuclear speckles"		"HPA005455: AB_1078140, HPA017067: AB_1844767"	"unprognostic (1.13e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.69e-1)"	"unprognostic (9.55e-4)"	"unprognostic (3.85e-4)"	"unprognostic (2.07e-1)"	"unprognostic (1.29e-1)"				"unprognostic (8.37e-5)"	"unprognostic (1.13e-2)"		"unprognostic (2.96e-2)"	"unprognostic (7.87e-2)"	"unprognostic (1.90e-1)"	"unprognostic (8.20e-2)"		"unprognostic (9.70e-2)"			"unprognostic (9.22e-2)"	"unprognostic (7.19e-2)"	"unprognostic (4.73e-1)"	"unprognostic (9.06e-3)"	"unprognostic (3.12e-3)"		"unprognostic (3.75e-2)"	"unprognostic (9.23e-2)"	"unprognostic (2.04e-1)"	"unprognostic (2.16e-1)"
ONECUT1	"HNF-6, HNF6, HNF6A"	ENSG00000169856	"One cut homeobox 1"	Q9UBC0	15	52755053-52791078	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"gallbladder: 5.6;liver: 12.1;pancreas: 12.3;retina: 4.0"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 166.0;Ductal cells: 84.3;Exocrine glandular cells: 60.9;Hepatocytes: 63.2;Horizontal cells: 248.0"	"Cell type enhanced"	"Detected in some"		"cerebellar inhibitory: 16.5;oligodendrocyte precursor cell: 34.7"	"Group enriched"	"Detected in some"	6	"Liver Hepatocellular Carcinoma (TCGA): 4.7;Pancreatic Adenocarcinoma (TCGA): 1.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"liver cancer: 4.9"		"Region enhanced"	"Detected in single"		"hypothalamus: 1.0"	"Low region specificity"	"Detected in some"			HPA003457	Enhanced		Supported	Nucleoplasm			NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	3	Nucleoplasm		"HPA003457: AB_1079525"			"unprognostic (3.74e-1)"											"unprognostic (1.11e-1)"	"unprognostic (1.70e-2)"							"unprognostic (1.27e-1)"	"unprognostic (2.16e-2)"								
PDX1	"GSF, IDX-1, IPF1, IUF-1, MODY4, PDX-1, STF-1"	ENSG00000139515	"Pancreatic and duodenal homeobox 1"	P52945	13	27920000-27926313	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Diabetes mellitus, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"intestine: 40.6;pancreas: 13.0"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 13.4;Ductal cells: 16.1;Enteroendocrine cells: 7.4;Exocrine glandular cells: 6.4;Gastric mucus-secreting cells: 4.7;Pancreatic endocrine cells: 20.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Colon Adenocarcinoma (TCGA): 9.2;Pancreatic Adenocarcinoma (TCGA): 9.7;Rectum Adenocarcinoma (TCGA): 9.3;Stomach Adenocarcinoma (TCGA): 8.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 6.2;Gastric cancer: 6.1"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB025873, HPA059146"	Enhanced		Supported	Nucleoplasm			NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 59: Leukemia - T-cell receptor"	"Cluster 45: Non-specific - Mixed function"	6	Nucleoplasm		"CAB025873: , HPA059146: AB_2683927"					"unprognostic (3.40e-1)"	"unprognostic (2.64e-2)"								"unprognostic (4.31e-2)"	"unprognostic (9.33e-2)"							"unprognostic (1.31e-2)"	"unprognostic (1.20e-1)"		"unprognostic (3.38e-1)"	"unprognostic (5.80e-2)"		"unprognostic (9.11e-2)"	"unprognostic (1.51e-1)"		
SARDH	"DMGDHL1, SDH"	ENSG00000123453	"Sarcosine dehydrogenase"	Q9UL12	9	133663560-133739955	"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"epididymis: 40.6;liver: 76.3;pancreas: 40.9"	"Group enriched"	"Detected in some"	6	"Hepatocytes: 108.1;Oocytes: 74.3"	"Cell type enhanced"	"Detected in many"		"mammillary body: 15.0"	"Cancer enriched"	"Detected in many"	5	"Liver Hepatocellular Carcinoma (TCGA): 35.4"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"memory CD4 T-cell: 3.2;naive CD4 T-cell: 6.5;T-reg: 8.5"	"Lineage enriched"	"Detected in single"	15	"T-cells: 8.5"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Adipose progenitor cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"HPA057267, HPA058086"	Approved		Approved	Mitochondria			NA	NA		160000	"Cluster 31: T-cells - T-cell receptor"	"Cluster 53: Non-specific - Glycosylation"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 43: Hepatocytes - Metabolism"	20	Mitochondria		"HPA057267: AB_2683388, HPA058086: AB_2683601"	"unprognostic (7.42e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.06e-1)"	"unprognostic (6.55e-3)"		"unprognostic (4.34e-2)"	"unprognostic (1.02e-3)"			"unprognostic (2.57e-2)"	"unprognostic (2.84e-2)"	"unprognostic (1.74e-2)"	"unprognostic (3.85e-3)"	"unprognostic (1.75e-3)"	"unprognostic (3.14e-3)"	"unprognostic (6.83e-2)"	"unprognostic (4.31e-2)"	"unprognostic (1.28e-2)"	"unprognostic (4.10e-1)"	"unprognostic (1.67e-1)"		"unprognostic (1.35e-1)"		"unprognostic (1.58e-1)"		"unprognostic (6.58e-4)"	"unprognostic (3.05e-2)"	"unprognostic (8.60e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.13e-1)"	"unprognostic (9.60e-2)"
SERPINA3	"AACT, ACT"	ENSG00000196136	"Serpin family A member 3"	P01011	14	94612384-94624055	"Cancer-related genes, Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Acute phase"	"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"liver: 8942.3;pancreas: 4764.3"	"Cell type enhanced"	"Detected in some"		"Ductal cells: 21.1;Exocrine glandular cells: 41.9;Fibroblasts: 14.7;Hepatocytes: 11.4;Mucus glandular cells: 36.7;Serous glandular cells: 13.8"	"Cell type enriched"	"Detected in some"	4	"astrocyte: 21.9"	"Cancer enhanced"	"Detected in all"		"Glioblastoma Multiforme (TCGA): 1199.8;Liver Hepatocellular Carcinoma (TCGA): 1886.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 142.2;skin cancer: 409.0"	"Breast - Breast glandular cells, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Macrophages, Thyroid gland - Macrophages"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA000893, HPA002560, CAB016647"	Enhanced				"Secreted to blood"	"Acute phase"	NA	NA	697000000000	130000000000		"Cluster 83: Liver - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 49: Non-specific - Transcription"	34			"CAB016647: AB_1611882, HPA000893: AB_10794315, HPA002560: AB_1856717"	"unprognostic (1.31e-3)"	"unprognostic (2.24e-3)"	"unprognostic (5.87e-2)"	"unprognostic (4.26e-5)"	"unprognostic (1.49e-1)"	"unprognostic (1.17e-2)"	"unprognostic (2.85e-2)"	"unprognostic (1.15e-1)"	"unprognostic (5.79e-2)"	"unprognostic (1.31e-1)"	"unprognostic (2.34e-10)"	"unprognostic (9.92e-4)"	"unprognostic (1.05e-4)"	"unprognostic (1.83e-2)"	"unprognostic (6.88e-3)"	"unprognostic (3.79e-2)"	"unprognostic (2.29e-1)"	"unprognostic (9.69e-3)"	"unprognostic (8.12e-3)"	"unprognostic (4.05e-2)"	"unprognostic (3.29e-1)"	"unprognostic (4.05e-3)"	"unprognostic (6.71e-4)"	"unprognostic (1.96e-1)"	"unprognostic (6.19e-3)"	"unprognostic (1.43e-1)"	"unprognostic (2.99e-1)"	"unprognostic (1.60e-1)"	"unprognostic (9.97e-2)"	"unprognostic (3.47e-4)"	"unprognostic (3.53e-2)"
SLC30A2	ZNT2	ENSG00000158014	"Solute carrier family 30 member 2"	Q9BRI3	1	26037252-26046118	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Antiport, Ion transport, Transport, Zinc transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"pancreas: 96.9"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 29.9;Glandular and luminal cells: 93.9;Proximal tubular cells: 26.3;Syncytiotrophoblasts: 88.3"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 24.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Minor Salivary Gland - Minor salivary gland ductal cells, Thyroid gland - Thyroid glandular cells"	"Region enriched"	"Detected in single"	5	"olfactory bulb: 1.2"	"Not detected"	"Not detected"			HPA017979			Approved	Vesicles			NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 48: Non-specific - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	59	Vesicles		"HPA017979: AB_1857085"	"unprognostic (1.13e-1)"	"unprognostic (6.99e-2)"	"unprognostic (1.76e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.54e-2)"				"unprognostic (5.53e-2)"	"unprognostic (2.59e-1)"	"unprognostic (7.58e-2)"	"unprognostic (8.75e-2)"	"unprognostic (6.25e-2)"						"unprognostic (1.47e-1)"	"unprognostic (3.00e-1)"	"unprognostic (5.21e-2)"	"unprognostic (2.31e-3)"		"unprognostic (7.97e-2)"	"unprognostic (3.52e-3)"	"unprognostic (9.42e-2)"		"unprognostic (5.83e-2)"	"unprognostic (7.38e-2)"	"unprognostic (5.08e-2)"
SLC43A1	"PB39, POV1, R00504"	ENSG00000149150	"Solute carrier family 43 member 1"	O75387	11	57484534-57515780	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	5	"liver: 125.5;pancreas: 225.9"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 32.4;Erythroid cells: 49.2;Exocrine glandular cells: 34.2;Hepatocytes: 104.9"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"Liver Hepatocellular Carcinoma (TCGA): 69.9"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Breast - Fibroblasts"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA018813, HPA018826"	Enhanced		Approved	"Golgi apparatus,Vesicles,Plasma membrane"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 68: Non-specific - Protein processing"	"Cluster 53: Neurons - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 1: Erythroid cells - Oxygen transport"	1	"Golgi apparatus, Vesicles, Plasma membrane"		"HPA018813: AB_1857164, HPA018826: AB_1857165"	"unprognostic (7.97e-3)"	"unprognostic (2.27e-1)"	"unprognostic (8.20e-2)"	"unprognostic (4.91e-3)"	"unprognostic (1.44e-1)"	"unprognostic (1.91e-1)"	"unprognostic (7.76e-2)"		"unprognostic (2.15e-1)"	"unprognostic (1.29e-1)"	"unprognostic (2.02e-2)"	"unprognostic (7.30e-2)"	"unprognostic (3.71e-3)"	"unprognostic (5.07e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.53e-2)"	"unprognostic (1.04e-4)"	"unprognostic (1.93e-1)"	"unprognostic (2.31e-1)"	"unprognostic (4.99e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.72e-1)"	"unprognostic (1.53e-3)"	"unprognostic (2.33e-1)"	"unprognostic (1.13e-1)"	"unprognostic (6.73e-2)"	"unprognostic (1.72e-2)"	"unprognostic (1.31e-2)"	"unprognostic (1.25e-1)"	"unprognostic (2.12e-4)"	"unprognostic (5.93e-2)"
SPAG4	"CT127, SUN4"	ENSG00000061656	"Sperm associated antigen 4"	Q9NPE6	20	35615829-35621094	"Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"pancreas: 87.3;testis: 31.1"	"Group enriched"	"Detected in many"	5	"Early spermatids: 153.5;Late spermatids: 166.4;Plasma cells: 234.9"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 51.5"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"plasmacytoid DC: 1.2"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Breast - Plasma cells, Minor Salivary Gland - Plasma cells, Spleen - Plasma cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA048393, HPA061789"	Approved						NA	NA			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 77: Plasma cells - Protein processing"	25			"HPA048393: AB_2680385, HPA061789: AB_2684609"	"unprognostic (3.52e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.17e-2)"	"unprognostic (3.93e-3)"	"unprognostic (5.85e-4)"	"unprognostic (1.14e-4)"		"unprognostic (2.06e-1)"	"unprognostic (3.36e-2)"	"unprognostic (8.22e-2)"	"unprognostic (1.77e-1)"	"unprognostic (3.87e-2)"	"unprognostic (4.03e-3)"	"unprognostic (2.23e-2)"	"unprognostic (3.89e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.62e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.56e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.32e-3)"	"unprognostic (1.82e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.86e-2)"	"unprognostic (1.01e-2)"	"unprognostic (1.49e-2)"	"unprognostic (5.31e-2)"	"unprognostic (2.72e-1)"	"unprognostic (3.57e-1)"	"unprognostic (1.76e-1)"
TMED6	"MGC23911, p24g5, p24gamma5"	ENSG00000157315	"Transmembrane p24 trafficking protein 6"	Q8WW62	16	69343250-69351786	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"pancreas: 289.3"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 23.0;Distal enterocytes: 10.9;Enteroendocrine cells: 11.6;Exocrine glandular cells: 31.4;Gastric mucus-secreting cells: 11.2;Pancreatic endocrine cells: 17.0;Paneth cells: 10.1;Proximal tubular cells: 12.0"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Stomach - Chief cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA012532	Approved						NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 34: Non-specific - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"HPA012532: AB_1858065"			"unprognostic (1.17e-1)"	"unprognostic (1.27e-2)"	"unprognostic (4.48e-2)"	"unprognostic (9.87e-2)"				"unprognostic (2.55e-1)"	"unprognostic (1.10e-7)"	"unprognostic (1.05e-6)"	"unprognostic (2.47e-1)"	"unprognostic (2.25e-1)"	"unprognostic (5.36e-2)"	"unprognostic (9.31e-2)"	"unprognostic (1.83e-1)"		"unprognostic (1.60e-1)"			"unprognostic (2.38e-2)"		"unprognostic (1.25e-1)"	"unprognostic (2.35e-1)"	"unprognostic (2.15e-2)"		"unprognostic (3.14e-1)"			"unprognostic (3.36e-2)"
TMEM52		ENSG00000178821	"Transmembrane protein 52"	Q8NDY8	1	1917590-1919279	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"pancreas: 209.9;skeletal muscle: 288.4;tongue: 199.5"	"Cell type enriched"	"Detected in many"	5	"Skeletal myocytes: 227.4"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 7.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Lung - Respiratory ciliated cells, Stomach - Chief cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA079372			Approved	"Nucleoplasm,Plasma membrane"	"Intracellular and membrane"	"No annotated function"	NA	NA				"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 2: Skeletal myocytes - Muscle contraction"		"Nucleoplasm, Plasma membrane"		"HPA079372: "	"unprognostic (3.03e-3)"	"unprognostic (3.15e-1)"	"unprognostic (8.09e-2)"	"unprognostic (3.21e-1)"	"unprognostic (2.08e-1)"	"unprognostic (9.37e-2)"			"unprognostic (1.60e-1)"	"unprognostic (1.63e-2)"				"unprognostic (1.52e-2)"	"unprognostic (7.92e-2)"	"unprognostic (1.75e-2)"	"unprognostic (2.11e-1)"	"unprognostic (4.62e-2)"	"unprognostic (4.06e-2)"	"unprognostic (2.47e-1)"	"unprognostic (4.67e-2)"	"unprognostic (6.37e-3)"		"unprognostic (5.25e-2)"	"unprognostic (2.58e-1)"	"unprognostic (1.56e-2)"	"unprognostic (3.96e-2)"	"unprognostic (9.03e-2)"	"unprognostic (1.76e-1)"		"unprognostic (1.09e-1)"
